Row ID,Order ID,Customer ID,Product ID,Segment,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Rate,Review,Summary
1,CA-2016-152156,CG-12520,FUR-BO-10001798,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,5,Super!,Great cooler.. excellent air flow and for this price. It's so amazing and unbelievable.Just love it ƒ?‹?
2,CA-2016-152156,CG-12520,FUR-CH-10000454,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,5,Awesome,Best budget 2 fit cooler. Nice cooling
3,CA-2016-138688,DV-13045,OFF-LA-10000240,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,3,Fair,The quality is good but the power of air is decent
4,US-2015-108966,SO-20335,FUR-TA-10000577,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,1,Useless product,Very bad product it's a only a fan
5,US-2015-108966,SO-20335,OFF-ST-10000760,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,3,Fair,Ok ok product
6,CA-2014-115812,BH-11710,FUR-FU-10001487,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,5,Awesome,The cooler is really fantastic and provides good air flow. Highly recommended
7,CA-2014-115812,BH-11710,OFF-AR-10002833,Consumer,Office Supplies,Art,Newell 322,7.28,4,0,1.9656,5,Highly recommended,Very good product
8,CA-2014-115812,BH-11710,TEC-PH-10002275,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,3,Nice,Very nice
9,CA-2014-115812,BH-11710,OFF-BI-10003910,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,1,Unsatisfactory,Very bad cooler
10,CA-2014-115812,BH-11710,OFF-AP-10002892,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,4,Worth the money,Very good
